copy	count
793	21
1028	21
642	21
1265	21
572	21
781	21
908	21
773	21
712	21
1620	20
762	20
626	20
1164	20
941	20
808	20
855	20
1552	20
909	20
731	20
618	20
732	20
1086	20
735	20
821	20
763	20
1061	20
858	20
701	20
791	20
774	20
1113	20
692	20
703	20
1118	20
975	20
955	20
768	20
718	20
656	19
676	19
746	19
770	19
745	19
1010	19
744	19
799	19
767	19
721	19
635	19
811	19
786	19
775	19
724	19
733	19
795	19
1136	19
7226	19
1161	19
1085	19
852	19
845	19
914	19
1305	19
851	19
913	19
1496	19
882	19
847	19
880	19
873	19
1878	19
1374	19
854	19
608	18
1332	18
900	18
654	18
683	18
2249	18
869	18
716	18
21367	18
889	18
859	18
1023	18
969	18
878	18
694	18
784	18
16763	18
1121	18
778	18
905	18
649	18
824	18
932	18
841	18
934	18
939	18
634	18
826	18
10200	18
825	18
789	18
761	18
848	18
646	18
950	18
921	17
2354	17
754	17
749	17
584	17
559	17
1058	17
1060	17
1685	17
765	17
881	17
948	17
772	17
884	17
780	17
967	17
729	17
911	17
1052	17
1043	17
717	17
714	17
1104	17
10928	17
1174	17
798	17
1166	17
652	17
989	17
1160	17
1021	17
817	17
1195	17
995	17
671	17
1222	17
802	17
1007	17
598	17
840	17
595	17
794	17
832	17
856	17
917	16
1044	16
866	16
991	16
752	16
813	16
1508	16
771	16
901	16
902	16
1177	16
997	16
1179	16
2298	16
1294	16
1225	16
844	16
1071	16
757	16
760	16
918	16
940	16
976	16
810	16
666	16
9575	16
1126	16
2665	16
974	16
783	16
1114	16
1027	16
801	16
899	16
1157	16
1108	16
1112	16
1053	16
897	16
896	16
807	16
1353	16
1019	15
954	15
1002	15
933	15
867	15
838	15
830	15
928	15
776	15
973	15
903	15
953	15
1016	15
1050	15
874	15
876	15
823	15
1046	15
806	15
915	15
822	15
3188	15
857	15
1040	15
1018	15
862	15
987	15
1109	15
930	15
1654	15
1318	15
1056	15
1276	15
2703	15
1253	15
1368	15
1238	15
1411	15
1196	15
1165	15
1488	15
1115	15
1100	15
1154	15
1057	15
2327	15
931	14
1017	14
1395	14
868	14
1413	14
1077	14
972	14
877	14
971	14
1074	14
815	14
970	14
1435	14
1803	14
1391	14
983	14
2437	14
1073	14
924	14
1008	14
1257	14
1263	14
938	14
1278	14
990	14
1001	14
1000	14
6801	14
1303	14
1346	14
1757	14
805	14
1451	14
1481	14
1145	14
1081	14
1577	14
1492	14
1029	14
1049	14
1595	14
1487	14
1128	14
1604	14
1123	14
1130	14
895	14
916	14
1612	14
8984	14
1092	14
1117	14
943	14
1088	14
1026	14
957	14
722	14
1116	14
1039	14
925	13
988	13
2693	13
1467	13
906	13
860	13
1615	13
1333	13
4428	13
2552	13
1397	13
1365	13
1437	13
890	13
850	13
1452	13
887	13
894	13
965	13
966	13
1444	13
968	13
904	13
1419	13
1414	13
1781	13
1409	13
870	13
1921	13
1510	13
922	13
1320	13
750	13
1159	13
1147	13
1192	13
1188	13
1187	13
1185	13
1020	13
1175	13
1173	13
1163	13
1155	13
1153	13
800	13
1149	13
792	13
1193	13
682	13
1127	13
1033	13
1034	13
1097	13
7223	13
1093	13
1089	13
1082	13
1075	13
1070	13
